publication_title,print_identifier,title_url,title_id,publisher_name,parent_publication_title_id
ACM SIGGRAPH 2004 Posters,978-1-58113-896-2,https://dl.acm.org/doi/book/10.1145/1186415,10.1145/1186415,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Sketches,978-1-58113-896-2,https://dl.acm.org/doi/book/10.1145/1186223,10.1145/1186223,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Special sessions,978-1-58113-896-2,https://dl.acm.org/doi/book/10.1145/1186187,10.1145/1186187,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2004 Web graphics,978-1-58113-896-2,https://dl.acm.org/doi/book/10.1145/1186194,10.1145/1186194,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Award recipients,978-1-4503-7828-4,https://dl.acm.org/doi/book/10.1145/1187293,10.1145/1187293,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Courses,978-1-4503-7833-8,https://dl.acm.org/doi/book/10.1145/1198555,10.1145/1198555,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Educators program,978-1-4503-7831-4,https://dl.acm.org/doi/book/10.1145/1187358,10.1145/1187358,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Electronic Art and Animation Catalog,978-1-59593-101-6,https://dl.acm.org/doi/book/10.1145/1086057,10.1145/1086057,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Emerging technologies,978-1-4503-7829-1,https://dl.acm.org/doi/book/10.1145/1187297,10.1145/1187297,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Panels,978-1-4503-7824-6,https://dl.acm.org/doi/book/10.1145/1186796,10.1145/1186796,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Papers,978-1-4503-7825-3,https://dl.acm.org/doi/book/10.1145/1186822,10.1145/1186822,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Posters,978-1-4503-7826-0,https://dl.acm.org/doi/book/10.1145/1186954,10.1145/1186954,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Sketches,978-1-4503-7827-7,https://dl.acm.org/doi/book/10.1145/1187112,10.1145/1187112,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Special sessions,978-1-4503-7832-1,https://dl.acm.org/doi/book/10.1145/1188822,10.1145/1188822,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2005 Web program,978-1-4503-7830-7,https://dl.acm.org/doi/book/10.1145/1187335,10.1145/1187335,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Art gallery,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1178977,10.1145/1178977,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Computer animation festival,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1179196,10.1145/1179196,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Courses,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1185657,10.1145/1185657,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Educators program,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1179295,10.1145/1179295,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Emerging technologies,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1179133,10.1145/1179133,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Panels,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1179171,10.1145/1179171,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Papers,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1179352,10.1145/1179352,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Research posters,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1179622,10.1145/1179622,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Sketches,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1179849,10.1145/1179849,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Special sessions (Video presentations for special sessions are available by clicking on individual citation pages),978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1180092,10.1145/1180092,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 Teapot Copyright restrictions prevent ACM from providing the full text for the Teapot exhibits,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1180098,10.1145/1180098,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2006 award recipients,978-1-59593-364-5,https://dl.acm.org/doi/book/10.1145/1179124,10.1145/1179124,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 art gallery,978-1-4503-1827-3,https://dl.acm.org/doi/book/10.1145/1280120,10.1145/1280120,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 award recipients,978-1-4503-4725-9,https://dl.acm.org/doi/book/10.1145/1278261,10.1145/1278261,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 computer animation festival,978-1-4503-1829-7,https://dl.acm.org/doi/book/10.1145/1281740,10.1145/1281740,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 courses,978-1-4503-1823-5,https://dl.acm.org/doi/book/10.1145/1281500,10.1145/1281500,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 educators program,978-1-4503-1830-3,https://dl.acm.org/doi/book/10.1145/1282040,10.1145/1282040,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 emerging technologies,978-1-4503-1824-2,https://dl.acm.org/doi/book/10.1145/1278280,10.1145/1278280,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 panels,978-1-4503-4727-3,https://dl.acm.org/doi/book/10.1145/1278400,10.1145/1278400,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 papers,978-1-4503-7836-9,https://dl.acm.org/doi/book/10.1145/1275808,10.1145/1275808,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 posters,978-1-4503-1828-0,https://dl.acm.org/doi/book/10.1145/1280720,10.1145/1280720,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 sketches,978-1-4503-4726-6,https://dl.acm.org/doi/book/10.1145/1278780,10.1145/1278780,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2007 special sessions,978-1-4503-4728-0,https://dl.acm.org/doi/book/10.1145/1278740,10.1145/1278740,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2008 Games,978-1-4503-7849-9,https://dl.acm.org/doi/book/10.1145/1404435,10.1145/1404435,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2008 art gallery,978-1-60558-344-0,https://dl.acm.org/doi/book/10.1145/1400385,10.1145/1400385,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2008 award recipients,978-1-4503-7846-8,https://dl.acm.org/doi/book/10.1145/1401611,10.1145/1401611,Association for Computing Machinery,acmconferences
ACM SIGGRAPH 2008 classes,978-1-4503-7845-1,https://dl.acm.org/doi/book/10.1145/1401132,10.1145/1401132,Association for Computing Machinery,acmconferences
